ID,content
1449711,乍一看清汤寡水有点像流水账，但情不自禁爱上这个积极乐观开朗执着永不气馁这么大年纪还有艳遇的老头！
1449711,砥励人生。德版蓝光。四星。
1449711,得道者多助，感人
1449711,霍普金斯好可爱。
1449711,新西兰赵本山远赴美国破纪录。前半段公路片后半段体育片，过程中少不了淳朴乡亲、艳遇、热心人以及小小的恶意，对年代的还原挺粗糙的，我完全看不出来这是个讲60年代故事的电影，好在全片风格特别清亮，流程中有些没来由的人物和没动机的尬聊，霍普金斯在这些时候演法类似赵本山。
1449711,如果一个人没有梦想还不如做一株植物
1449711,二百零一点八五一Burtnevergaveupmakinghisbikegofaster..
1449711,从milfordsound回queenstown的车上看的，没有字幕不过也还ok了。有梦想的人永远值得人敬佩，实现梦想永远都不晚。
1449711,虽然影片在人物的刻画上很是薄弱，但充满人生哲理的语言依然像一支鸡血针。
1449711,H是爷爷咯。。。
1449711,有人问他驾驶给他什么，他说驰骋给了我一切。这是非常与众不同的励志片，通过你的努力，可以感动一切，创造奇迹，最终赢得尊敬与喝彩。这又是一件真实事件，新西兰人七十年代创造的摩托车世界纪录保持至今。那年，他六十七岁。
1449711,热泪盈眶！为梦想！
1449711,有梦想的人·充实的人生·
1449711,17岁想看的电影24岁才看到
1449711,你的世界可能永远不会如此美好，但是知道这个世界还可以如此美好，是一件非常幸福的事
1449711,家人随岁月离他而去，邻居抱怨他清早试车，抱怨他荒草丛生的院子，心脏病时常发作.....但一切都不重要，重要的只有他的摩托车和更快的速度。
1449711,只有敢梦想，人生才有意义
1449711,一股正能量从头顶直灌到脚底，人生真美好。
1449711,温馨的故事，可爱的老头儿。“人没有理想就像蔬菜一样。”
1449711,"""这些比电影情节还神奇的真实故事让这世界还不至于乏味到令人厌烦的程度“——这是我看完《寻找小糖人》时的感受这部电影同样如此其实片子拍的并不出彩也就是励志片老套路但是这一切在这个故事面前都显得不那么重要了"
1449711,用生命在破纪录的人???无人能超越啊没想到是改编自真实事件
1449711,这个故事告诉我们：有一门手艺，不管年纪多大，走遍天下都不怕。
1449711,一部老年励志片。。with小m、glat影城。。
1449711,中间一段加入莫名其妙的公路情节是为了凑长度么
1449711,坚持自己的人生才是真的人生。
1449711,看的心酸的要死，但非常震撼，就真的是那种所有人都不看好，一直到最后一分钟我都不相信他真的创造了世界纪录，逆袭的典范啊！
1449711,时速200，这个老头开心了就手舞足蹈，遇到任何人都要说抽烟有害，没有安全伞没有刹车的印第安，只想开的更快的老头啊。看得我差点没哭
1449711,本片改编自一个真实的故事，主人公曾10次参加摩托车竞速大赛，最后一次是68岁。他的古董印第安摩托设计时速是89km/h，经他一次次改装后达到了305km/h，并且这也是目前的世界纪录。向伟大的追梦者致敬！
1449711,老年人主演的公路片！坚持梦想是难得，可是摩托车上竟然用瓶塞来密封，是不是太扯了一点。
1449711,因为没有对好字幕，从头浏览了一下，温馨的人物温馨的音乐，好看。
1449711,处处都有可爱的人
1449711,老饼干怎么会发现一部这么逗的老年摩托车公路片新西兰老头跨越大洋泡老妞、喝冰可乐差点心梗，就为了来一场印第安摩托之旅…好极了…
1449711,倔强又可爱的老头
1449711,真人真事，，有些人生来就是成为传奇的
1449711,人家能骑双子星，我只能骑小绵羊。。。
1449711,只有不死都要追求心中的梦想，如果人没有梦想和蔬菜有什么分别
1449711,"当我想去的时候我没有去,当我准备出发的时候我死了,我以为我一直在路上，可原来我从未出发"
1449711,人活着如果没有理想，还不如去做植物。
1449711,"我想这部片子已经荣升我最爱的电影NO.1了。当年痴迷的汉尼拔在片里俨然成为发福的垂垂老者时开始顿生一丝伤感。但接着看到这个乐活可爱的老头普通而又疯狂的逐梦路时，又感到霍普金斯魅力的再次绽放。Iloveyou,Istillloveyou!youoldguy!!个人非常喜欢打十星！"
1449711,看过最好看的公路片和励志片，没有之一，热泪盈眶，下了N年没删的经典
1449711,里米尼市图书馆放映厅免费场
1449711,牛逼，励志，感人，
1449711,六十年代一个70岁的新西兰老头横跨半个地球参赛驾着一辆1920年的摩托车创造了世界陆地最快速度，至今无人能破。这个老头很普通甚至让烦，但在一个宽容的环境中，只要你有梦想并去追求，就一定能实现！
1449711,公路励志片，一路旅行一路yp的老人生赢家，霍普金斯对角色驾驭的能力很棒。最近沉迷传记，特别是励志传记。
1449711,很好，很温暖。
1449711,2006624
1449711,夕阳红
1449711,06年广州新西兰电影周就曾有此片，直至后来躺硬盘里也一直没看。终于要去新西兰前，心潮澎湃地看完了。南岛最南小镇因弗吉尔竟然出了这么一个英雄，当然电影把真人更加传奇化，比如让老头变得穷苦伶仃、满身疾病，也就因此成就了跨越太平洋和美国西部暖情弥漫的舒服艺术氛围。
1449711,ChristopherLawford好帅！！！
1449711,也许单纯的人就是这个样子
1449711,SoNZ.Poignant!
1449711,有梦想还能为之奋斗的人最酷TT
1449711,老戏骨
1449711,很帅的老极客！
1449711,毫不犹豫的满分
1449711,这老头给我看哭了
1449711,追逐梦想的倔强老头喜欢这样题材的电影霍普金斯魅力无穷
1449711,刚看完，没想到他老人家还拍过这部电影，喜欢前面，老头一路前往目的地，遇到不同的人，后面就太美国了拉！
