电影名,链接,评分,导演,作者,主演,类型,制片国家/地区,年份,出版社,出版年
包法利夫人 Madame Bovary,https://movie.douban.com/subject/2259363/,6.5 (146人评价), 让·雷诺阿,, 马克斯·迪尔利 / 瓦伦丁·特西尔 / 皮埃尔·雷诺阿, 剧情, 法国, 1933,,
包法利夫人 Die nackte Bovary,https://movie.douban.com/subject/4936761/,5.7 (143人评价), Hans Schott-Schöbinger,, 艾德薇姬·芬妮齐 / Gerhard Riedmann / 多梅尼科·鄂拿博纳, 剧情, 西德/意大利, 1969,,
包法利夫人（阿根廷电影版） Madame Bovary,https://movie.douban.com/subject/3221751/,暂无评分, Carlos Schlieper,,, 剧情 / 爱情, 阿根廷, 1947,,
包法利夫人 Madame Bovary,https://movie.douban.com/subject/5072282/,暂无评分, Gerhard Lamprecht,,,, 德国, 1937,,
魂断梅耶林 Mayerling,https://movie.douban.com/subject/1301651/,6.7 (163人评价), 特伦斯·杨,, 奥马尔·沙里夫 / 凯瑟琳·德纳芙 / 詹姆斯·梅森, 剧情 / 历史 / 爱情, 英国/法国, 1968,,
迷人的四月 Enchanted April,https://movie.douban.com/subject/1303350/,7.6 (172人评价), 迈克·内威尔,, 约茜·劳伦斯 / 米兰达·理查森 / 阿尔弗雷德·莫里纳, 剧情, 英国, 1991,,
斯万的爱情 Un amour de Swann,https://movie.douban.com/subject/1293386/,7.1 (1109人评价), 沃尔克·施隆多夫,, 杰瑞米·艾恩斯 / 奥内拉·穆蒂 / 阿兰·德龙, 剧情, 法国/西德, 1984,,
情感的宿命 Les Destinées Sentimentales,https://movie.douban.com/subject/1300569/,7.2 (419人评价), 奥利维耶·阿萨亚斯,, 艾曼纽·贝阿 / 夏尔·贝尔林 / 伊莎贝尔·于佩尔, 剧情 / 爱情, 法国/瑞士, 2000,,
远离尘嚣 Far from the Madding Crowd,https://movie.douban.com/subject/1295736/,7.2 (181人评价), 约翰·施莱辛格,, 朱莉·克里斯蒂 / 特伦斯·斯坦普 / 彼得·芬奇, 剧情 / 爱情, 英国, 1967,,
浪漫年代 Le affinità elettive,https://movie.douban.com/subject/1300386/,7.1 (175人评价), 保罗·塔维亚尼 / 维托里奥·塔维亚尼,, Isabelle Huppert / Marie Gillain / Jean-Hugues Anglade, 喜剧 / 剧情 / 爱情, 意大利/法国, 1996,,
无尽长夜 Marple: Endless Night,https://movie.douban.com/subject/20000079/,7.5 (1328人评价), 大卫·摩尔,, 朱莉亚·麦肯齐 / 汤姆·休斯 / 阿奈林·巴纳德, 剧情 / 犯罪 / 悬疑, 英国/美国, 2013,,
远离尘嚣 Far From The Madding Crowd,https://movie.douban.com/subject/1777668/,8.1 (383人评价), 尼古拉斯·雷顿,, 帕洛玛·巴尔扎 / 尼吉尔·特瑞 / 内森奈尔·帕克, 剧情, 英国, 1998,,
